ID,Room Name,Building,Room Number,Room Type,WD Room Type,Department,Seating,"Technology/Equipment Additional Notes",Technology Details,PC CCID,System,System Name,Operating System,Optical Drive,"Wireless Projection (Solstice)",Number of Lab Computers,Record / Stream,"Video Conferencing (Zoom Room)",Phone in Room,Photo Index,Photo URL,Photo 360 View,,,,,,,,
6769,Keyes 102,Keyes,102,Classroom,Classroom,Math,30,Projector,,180650,Mac Mini,,Mac,Yes,No,,No,No,,29,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_102_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_102_2024.jpg""]",,,,,,,,
6770,Keyes 103,Keyes,103,Classroom,Classroom,Chem,20,Projector,,210263,Mac Mini,,Mac,Yes,No,,No,No,,30,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_103_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_103_2024.jpg""]",,,,,,,,
6771,Keyes 104,Keyes,104,Seminar,Seminar Classroom,Chem,10,"Projector, ",Rolling Cart,190127,iMac,,Mac,No,Yes,,No,No,,33,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_104_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_104_2024.jpg""]",,,,,,,,
6813,Keyes 105,Keyes,105,Auditorium,Lecture Hall,Chem/Phys,199,"Projector, 2 Side TVs, ",Oppo BluRay,210846,Mac Mini,,Both,Yes,Yes,,Yes,No,,31,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_105_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_105_2024.jpg""]",,,,,,,,
6830,Keyes 114,Keyes,114,Lab/Seminar,Instructional Lab,Astro,24,"Projector, Classroom iMacs, Printer",Dual monitor setups,230162,iMac,,Mac,Yes,Yes,8,No,No,,32,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_114_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_114_2024.jpg""]",,,,,,,,
6831,Keyes 205,Keyes,205,Lab/Seminar,Instructional Lab,Chem,25,"No projector, mixed Dells and Macs",,,Mixed,,Mac,No,No,11,No,No,,24,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_205_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_205_2024.jpg""]",,,,,,,,
6832,Keyes 303,Keyes,303,Lab/Seminar,Instructional Lab,Chem,12,"No projector, 8 Classroom iMacs, 2 Classroom Dells",,,,,,No,No,10,No,No,,27,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_303_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_303_2024.jpg""]",,,,,,,,
6833,Keyes 305,Keyes,305,Lab/Seminar,Instructional Lab,Chem,25,No projector,,,,,,No,No,,No,No,,28,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_305_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_305_2024.jpg""]",,,,,,,,
6834,Keyes 405,Keyes,405,Lab/Seminar,Instructional Lab,Chem,25,"No projector, Classroom iMacs,  1 Classroom Dell, Printer",,,iMac,,Mac,No,No,20,No,No,,25,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_405_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_405_2024.jpg""]",,,,,,,,
6835,Keyes 408,Keyes,408,Lab/Seminar,Instructional Lab,,16,"No projector, 8 Classroom iMacs",,,iMac,,Mac,No,No,9,No,No,,26,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_408_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Keyes_408_2024.jpg""]",,,,,,,,
